experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gpt56sol_med_50,run_001,run_002,0.257,0.341,0.011,0.0,False,True
real_gpt56sol_med_50,run_001,run_003,0.267,0.307,0.211,1.0,False,False
real_gpt56sol_med_50,run_001,run_004,0.167,0.451,0.287,1.0,True,True
real_gpt56sol_med_50,run_001,run_005,0.209,0.326,0.22,0.0,False,True
real_gpt56sol_med_50,run_001,run_006,0.143,0.093,0.068,1.0,False,False
real_gpt56sol_med_50,run_001,run_007,0.082,0.05,0.068,1.0,False,False
real_gpt56sol_med_50,run_001,run_008,0.175,0.537,0.03,1.0,True,True
real_gpt56sol_med_50,run_001,run_009,0.106,0.409,0.016,1.0,False,False
real_gpt56sol_med_50,run_001,run_010,0.193,0.238,0.148,1.0,False,True
real_gpt56sol_med_50,run_001,run_011,0.203,0.389,0.271,0.0,False,True
real_gpt56sol_med_50,run_001,run_012,0.158,0.31,0.093,1.0,False,False
real_gpt56sol_med_50,run_001,run_013,0.148,0.215,0.21,1.0,False,True
real_gpt56sol_med_50,run_001,run_014,0.111,0.326,0.061,0.0,False,True
real_gpt56sol_med_50,run_001,run_015,0.155,0.557,0.244,1.0,False,True
real_gpt56sol_med_50,run_001,run_016,0.116,0.046,0.042,1.0,False,False
real_gpt56sol_med_50,run_001,run_017,0.21,0.351,0.092,0.0,False,True
real_gpt56sol_med_50,run_001,run_018,0.115,0.341,0.082,0.0,False,True
real_gpt56sol_med_50,run_001,run_019,0.128,0.432,0.111,1.0,False,True
real_gpt56sol_med_50,run_001,run_020,0.149,0.497,0.232,1.0,True,True
real_gpt56sol_med_50,run_001,run_021,0.12,0.351,0.008,0.0,False,True
real_gpt56sol_med_50,run_001,run_022,0.206,0.406,0.086,1.0,False,False
real_gpt56sol_med_50,run_001,run_023,0.108,0.364,0.044,0.0,False,True
real_gpt56sol_med_50,run_001,run_024,0.134,0.151,0.038,1.0,True,True
real_gpt56sol_med_50,run_001,run_025,0.132,0.162,0.096,1.0,True,True
real_gpt56sol_med_50,run_001,run_026,0.253,0.564,0.084,1.0,False,True
real_gpt56sol_med_50,run_001,run_027,0.172,0.395,0.143,1.0,True,False
real_gpt56sol_med_50,run_001,run_028,0.103,0.364,0.312,0.0,False,True
real_gpt56sol_med_50,run_001,run_029,0.15,0.123,0.082,1.0,False,True
real_gpt56sol_med_50,run_001,run_030,0.059,0.366,0.188,0.0,False,True
real_gpt56sol_med_50,run_001,run_031,0.165,0.402,0.251,1.0,False,True
real_gpt56sol_med_50,run_001,run_032,0.271,0.211,0.03,1.0,True,True
real_gpt56sol_med_50,run_001,run_033,0.104,0.321,0.03,0.0,False,True
real_gpt56sol_med_50,run_001,run_034,0.155,0.192,0.232,1.0,False,True
real_gpt56sol_med_50,run_001,run_035,0.322,0.357,0.117,1.0,False,False
real_gpt56sol_med_50,run_001,run_036,0.177,0.4,0.149,1.0,False,True
real_gpt56sol_med_50,run_001,run_037,0.194,0.356,0.147,0.0,False,True
real_gpt56sol_med_50,run_001,run_038,0.187,0.396,0.007,1.0,False,True
real_gpt56sol_med_50,run_001,run_039,0.272,0.292,0.006,1.0,False,True
real_gpt56sol_med_50,run_001,run_040,0.19,0.557,0.126,1.0,False,True
real_gpt56sol_med_50,run_001,run_041,0.134,0.354,0.022,1.0,False,False
real_gpt56sol_med_50,run_001,run_042,0.11,0.32,0.006,0.0,False,True
real_gpt56sol_med_50,run_001,run_043,0.143,0.333,0.01,1.0,False,False
real_gpt56sol_med_50,run_001,run_044,0.148,0.364,0.143,0.0,False,True
real_gpt56sol_med_50,run_001,run_045,0.187,0.296,0.211,0.0,False,True
real_gpt56sol_med_50,run_001,run_046,0.26,0.43,0.314,1.0,False,True
real_gpt56sol_med_50,run_001,run_047,0.279,0.351,0.131,0.0,False,True
real_gpt56sol_med_50,run_001,run_048,0.237,0.07,0.273,0.0,False,True
real_gpt56sol_med_50,run_001,run_049,0.14,0.532,0.009,1.0,False,True
real_gpt56sol_med_50,run_001,run_050,0.182,0.326,0.098,0.0,False,True
real_gpt56sol_med_50,run_002,run_003,0.294,0.224,0.06,0.0,False,False
real_gpt56sol_med_50,run_002,run_004,0.133,0.344,0.091,0.0,False,True
real_gpt56sol_med_50,run_002,run_005,0.198,0.436,0.034,1.0,True,True
real_gpt56sol_med_50,run_002,run_006,0.141,0.019,0.038,0.0,False,False
real_gpt56sol_med_50,run_002,run_007,0.079,0.016,0.075,0.0,False,False
real_gpt56sol_med_50,run_002,run_008,0.18,0.334,0.038,0.0,False,True
real_gpt56sol_med_50,run_002,run_009,0.097,0.23,0.047,0.0,False,False
real_gpt56sol_med_50,run_002,run_010,0.13,0.304,0.09,0.0,True,True
real_gpt56sol_med_50,run_002,run_011,0.203,0.3,0.106,0.5,True,True
real_gpt56sol_med_50,run_002,run_012,0.164,0.202,0.037,0.0,False,False
real_gpt56sol_med_50,run_002,run_013,0.135,0.015,0.03,0.0,False,True
real_gpt56sol_med_50,run_002,run_014,0.091,0.436,0.047,1.0,True,True
real_gpt56sol_med_50,run_002,run_015,0.136,0.372,0.071,0.0,False,True
real_gpt56sol_med_50,run_002,run_016,0.161,0.011,0.035,0.0,False,False
real_gpt56sol_med_50,run_002,run_017,0.217,0.545,0.02,1.0,True,True
real_gpt56sol_med_50,run_002,run_018,0.109,0.424,0.039,1.0,True,True
real_gpt56sol_med_50,run_002,run_019,0.129,0.31,0.028,0.0,True,True
real_gpt56sol_med_50,run_002,run_020,0.19,0.391,0.021,0.0,False,True
real_gpt56sol_med_50,run_002,run_021,0.12,0.545,0.042,1.0,True,True
real_gpt56sol_med_50,run_002,run_022,0.232,0.153,0.031,0.0,False,False
real_gpt56sol_med_50,run_002,run_023,0.142,0.424,0.022,1.0,True,True
real_gpt56sol_med_50,run_002,run_024,0.131,0.077,0.051,0.0,False,True
real_gpt56sol_med_50,run_002,run_025,0.133,0.095,0.034,0.0,False,True
