experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_grok46_50,run_001,run_002,0.056,0.333,0.148,0.0,False,False
real_grok46_50,run_001,run_003,0.137,0.444,0.303,1.0,False,False
real_grok46_50,run_001,run_004,0.079,0.41,0.283,1.0,False,False
real_grok46_50,run_001,run_005,0.147,0.453,0.027,1.0,True,True
real_grok46_50,run_001,run_006,0.173,0.324,0.023,1.0,False,False
real_grok46_50,run_001,run_007,0.137,0.188,0.084,1.0,True,True
real_grok46_50,run_001,run_008,0.204,0.297,0.033,0.0,False,False
real_grok46_50,run_001,run_009,0.164,0.431,0.011,1.0,False,False
real_grok46_50,run_001,run_010,0.055,0.375,0.294,1.0,True,True
real_grok46_50,run_001,run_011,0.045,0.125,0.073,0.0,False,False
real_grok46_50,run_001,run_012,0.074,0.39,0.051,1.0,False,False
real_grok46_50,run_001,run_013,0.147,0.123,0.247,0.0,False,False
real_grok46_50,run_001,run_014,0.117,0.142,0.051,1.0,False,False
real_grok46_50,run_001,run_015,0.161,0.349,0.091,1.0,False,False
real_grok46_50,run_001,run_016,0.159,0.456,0.277,1.0,False,False
real_grok46_50,run_001,run_017,0.052,0.115,0.399,0.0,False,False
real_grok46_50,run_001,run_018,0.047,0.359,0.027,1.0,True,True
real_grok46_50,run_001,run_019,0.38,0.447,0.016,1.0,False,False
real_grok46_50,run_001,run_020,0.254,0.395,0.206,1.0,True,True
real_grok46_50,run_001,run_021,0.093,0.357,0.114,1.0,True,True
real_grok46_50,run_001,run_022,0.09,0.403,0.098,1.0,False,False
real_grok46_50,run_001,run_023,0.216,0.143,0.225,1.0,True,True
real_grok46_50,run_001,run_024,0.102,0.299,0.053,1.0,False,False
real_grok46_50,run_001,run_025,0.025,0.39,0.032,1.0,True,True
real_grok46_50,run_001,run_026,0.022,0.413,0.421,1.0,True,True
real_grok46_50,run_001,run_027,0.137,0.151,0.032,1.0,False,False
real_grok46_50,run_001,run_028,0.063,0.596,0.061,1.0,True,True
real_grok46_50,run_001,run_029,0.147,0.586,0.022,1.0,True,True
real_grok46_50,run_001,run_030,0.125,0.379,0.041,1.0,True,True
real_grok46_50,run_001,run_031,0.35,0.453,0.037,1.0,True,True
real_grok46_50,run_001,run_032,0.209,0.444,0.023,1.0,False,False
real_grok46_50,run_001,run_033,0.101,0.243,0.109,0.0,False,False
real_grok46_50,run_001,run_034,0.02,0.245,0.068,1.0,False,False
real_grok46_50,run_001,run_035,0.031,0.127,0.178,0.0,False,False
real_grok46_50,run_001,run_036,0.162,0.327,0.02,1.0,False,False
real_grok46_50,run_001,run_037,0.041,0.336,0.015,1.0,False,False
real_grok46_50,run_001,run_038,0.078,0.353,0.068,0.0,False,False
real_grok46_50,run_001,run_039,0.069,0.327,0.057,1.0,False,False
real_grok46_50,run_001,run_040,0.352,0.579,0.028,1.0,True,True
real_grok46_50,run_001,run_041,0.163,0.282,0.01,1.0,False,False
real_grok46_50,run_001,run_042,0.013,0.556,0.41,1.0,False,True
real_grok46_50,run_001,run_043,0.013,0.219,0.066,1.0,False,False
real_grok46_50,run_001,run_044,0.124,0.349,0.065,1.0,True,True
real_grok46_50,run_001,run_045,0.129,0.339,0.287,1.0,False,False
real_grok46_50,run_001,run_046,0.264,0.272,0.076,0.0,False,False
real_grok46_50,run_001,run_047,0.235,0.312,0.352,1.0,False,False
real_grok46_50,run_001,run_048,0.074,0.371,0.107,1.0,False,False
real_grok46_50,run_001,run_049,0.276,0.341,0.076,1.0,False,False
real_grok46_50,run_001,run_050,0.074,0.315,0.327,0.0,False,False
real_grok46_50,run_002,run_003,0.058,0.234,0.377,0.0,True,True
real_grok46_50,run_002,run_004,0.134,0.42,0.438,0.0,True,True
real_grok46_50,run_002,run_005,0.093,0.4,0.033,0.0,False,False
real_grok46_50,run_002,run_006,0.086,0.353,0.047,0.0,True,True
real_grok46_50,run_002,run_007,0.139,0.072,0.066,0.0,False,False
real_grok46_50,run_002,run_008,0.109,0.676,0.053,0.5,True,True
real_grok46_50,run_002,run_009,0.18,0.291,0.029,0.0,True,True
real_grok46_50,run_002,run_010,0.187,0.243,0.543,0.0,False,False
real_grok46_50,run_002,run_011,0.122,0.505,0.051,1.0,True,True
real_grok46_50,run_002,run_012,0.158,0.346,0.074,0.0,True,True
real_grok46_50,run_002,run_013,0.255,0.508,0.223,0.5,True,True
real_grok46_50,run_002,run_014,0.078,0.388,0.061,0.0,True,True
real_grok46_50,run_002,run_015,0.082,0.397,0.073,0.0,True,True
real_grok46_50,run_002,run_016,0.097,0.387,0.077,0.0,True,True
real_grok46_50,run_002,run_017,0.172,0.467,0.099,0.5,True,True
real_grok46_50,run_002,run_018,0.121,0.319,0.037,0.0,False,False
real_grok46_50,run_002,run_019,0.039,0.377,0.018,0.0,True,True
real_grok46_50,run_002,run_020,0.147,0.333,0.04,0.0,False,False
real_grok46_50,run_002,run_021,0.145,0.146,0.107,0.0,False,False
real_grok46_50,run_002,run_022,0.132,0.347,0.103,0.0,True,True
real_grok46_50,run_002,run_023,0.133,0.02,0.041,0.0,False,False
real_grok46_50,run_002,run_024,0.13,0.494,0.08,0.0,True,True
real_grok46_50,run_002,run_025,0.062,0.311,0.042,0.0,False,False
real_grok46_50,run_002,run_026,0.077,0.347,0.534,0.0,False,False
real_grok46_50,run_002,run_027,0.087,0.048,0.052,0.0,True,True
real_grok46_50,run_002,run_028,0.158,0.291,0.046,0.0,False,False
real_grok46_50,run_002,run_029,0.059,0.323,0.045,0.0,False,False
real_grok46_50,run_002,run_030,0.1,0.211,0.045,0.0,False,False
real_grok46_50,run_002,run_031,0.089,0.274,0.049,0.0,False,False
real_grok46_50,run_002,run_032,0.056,0.394,0.027,0.0,True,True
real_grok46_50,run_002,run_033,0.127,0.238,0.084,0.5,True,True
real_grok46_50,run_002,run_034,0.066,0.049,0.206,0.0,True,True
real_grok46_50,run_002,run_035,0.107,0.512,0.229,1.0,True,True
real_grok46_50,run_002,run_036,0.124,0.322,0.033,0.0,True,True
real_grok46_50,run_002,run_037,0.106,0.331,0.028,0.0,True,True
