experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_haiku45_50,run_002,run_003,0.039,0.026,0.033,0.0,False,False
real_haiku45_50,run_002,run_004,0.064,0.018,0.043,0.0,False,False
real_haiku45_50,run_002,run_005,0.055,0.026,0.023,0.0,False,False
real_haiku45_50,run_002,run_006,0.048,0.04,0.036,0.0,False,False
real_haiku45_50,run_002,run_007,0.1,0.027,0.025,0.0,False,False
real_haiku45_50,run_002,run_008,0.073,0.059,0.039,0.0,False,False
real_haiku45_50,run_002,run_009,0.077,0.106,0.043,0.0,False,False
real_haiku45_50,run_002,run_010,0.043,0.015,0.039,0.0,False,False
real_haiku45_50,run_002,run_011,0.064,0.02,0.049,0.0,False,False
real_haiku45_50,run_002,run_012,0.042,0.049,0.034,0.0,False,False
real_haiku45_50,run_002,run_013,0.068,0.067,0.022,0.0,False,False
real_haiku45_50,run_002,run_014,0.057,0.005,0.059,0.0,False,False
real_haiku45_50,run_002,run_015,0.071,0.033,0.064,0.0,False,False
real_haiku45_50,run_002,run_016,0.05,0.062,0.034,0.0,False,False
real_haiku45_50,run_002,run_017,0.034,0.059,0.043,0.0,False,False
real_haiku45_50,run_002,run_018,0.052,0.047,0.035,0.0,False,False
real_haiku45_50,run_002,run_019,0.116,0.14,0.037,0.0,False,False
real_haiku45_50,run_002,run_020,0.078,0.013,0.064,0.0,False,False
real_haiku45_50,run_002,run_021,0.05,0.181,0.046,0.333,False,False
real_haiku45_50,run_002,run_022,0.059,0.073,0.031,0.0,False,False
real_haiku45_50,run_002,run_023,0.054,0.039,0.028,0.0,False,False
real_haiku45_50,run_002,run_024,0.056,0.063,0.038,0.0,False,False
real_haiku45_50,run_002,run_025,0.097,0.037,0.046,0.0,False,False
real_haiku45_50,run_002,run_026,0.021,0.054,0.016,0.0,False,False
real_haiku45_50,run_002,run_027,0.085,0.053,0.034,0.0,False,False
real_haiku45_50,run_002,run_028,0.054,0.035,0.043,0.167,False,False
real_haiku45_50,run_002,run_029,0.097,0.105,0.063,0.5,False,False
real_haiku45_50,run_002,run_030,0.074,0.121,0.045,0.2,False,False
real_haiku45_50,run_002,run_031,0.041,0.041,0.023,0.0,False,False
real_haiku45_50,run_002,run_032,0.058,0.078,0.038,0.167,False,False
real_haiku45_50,run_002,run_033,0.033,0.013,0.044,0.333,False,False
real_haiku45_50,run_002,run_034,0.047,0.101,0.08,0.0,False,False
real_haiku45_50,run_002,run_035,0.064,0.047,0.026,0.0,False,False
real_haiku45_50,run_002,run_036,0.08,0.026,0.034,0.0,False,False
real_haiku45_50,run_002,run_037,0.036,0.087,0.047,0.0,False,False
real_haiku45_50,run_002,run_038,0.069,0.021,0.029,0.0,False,False
real_haiku45_50,run_002,run_039,0.059,0.037,0.048,0.0,False,False
real_haiku45_50,run_002,run_040,0.075,0.026,0.087,0.0,False,False
real_haiku45_50,run_002,run_041,0.09,0.009,0.025,0.5,False,False
real_haiku45_50,run_002,run_042,0.051,0.013,0.054,0.0,False,False
real_haiku45_50,run_002,run_043,0.051,0.034,0.038,0.0,False,False
