experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_llama4maverick_50,run_001,run_002,0.439,1.0,0.333,1.0,True,True
real_llama4maverick_50,run_001,run_004,0.11,0.961,0.398,0.5,True,True
real_llama4maverick_50,run_001,run_005,0.388,0.371,0.429,0.5,False,True
real_llama4maverick_50,run_001,run_006,0.507,0.974,0.04,0.5,True,True
real_llama4maverick_50,run_001,run_007,0.352,0.987,0.413,1.0,False,True
real_llama4maverick_50,run_001,run_008,0.068,0.974,0.47,0.5,True,True
real_llama4maverick_50,run_001,run_009,0.118,0.974,0.636,0.5,False,True
real_llama4maverick_50,run_001,run_010,0.111,0.987,0.521,0.5,True,True
real_llama4maverick_50,run_001,run_011,0.371,0.987,0.371,1.0,True,True
real_llama4maverick_50,run_001,run_012,0.508,0.961,0.672,0.5,True,True
real_llama4maverick_50,run_001,run_013,0.408,0.313,0.283,0.5,False,True
real_llama4maverick_50,run_001,run_014,0.399,0.4,0.354,0.5,False,True
real_llama4maverick_50,run_001,run_015,0.432,0.357,0.33,0.5,False,True
real_llama4maverick_50,run_001,run_016,0.389,0.974,0.317,0.5,True,True
real_llama4maverick_50,run_001,run_017,0.385,0.961,0.549,0.5,True,True
real_llama4maverick_50,run_001,run_018,0.391,0.276,0.368,0.5,False,True
real_llama4maverick_50,run_001,run_019,0.082,0.961,0.36,0.5,True,True
real_llama4maverick_50,run_001,run_020,0.387,0.444,0.371,0.0,False,False
real_llama4maverick_50,run_001,run_021,0.057,0.215,0.339,0.5,False,False
real_llama4maverick_50,run_001,run_022,0.129,0.272,0.586,0.5,False,False
real_llama4maverick_50,run_001,run_023,0.172,0.317,0.547,0.5,False,True
real_llama4maverick_50,run_001,run_024,0.407,0.961,0.505,0.5,True,True
real_llama4maverick_50,run_001,run_025,0.552,0.426,0.363,0.5,False,False
real_llama4maverick_50,run_001,run_026,0.097,0.432,0.452,0.5,False,True
real_llama4maverick_50,run_001,run_027,0.155,0.469,0.351,0.5,False,True
real_llama4maverick_50,run_001,run_028,0.094,0.987,0.314,0.5,True,True
real_llama4maverick_50,run_001,run_029,0.276,0.782,0.371,0.5,True,True
real_llama4maverick_50,run_001,run_030,0.201,0.961,0.563,0.5,True,True
real_llama4maverick_50,run_001,run_031,0.265,0.961,0.34,1.0,True,True
real_llama4maverick_50,run_001,run_032,0.26,0.391,0.509,0.0,True,True
real_llama4maverick_50,run_001,run_033,0.468,0.361,0.345,0.5,False,True
real_llama4maverick_50,run_001,run_034,0.196,0.987,0.554,1.0,True,True
real_llama4maverick_50,run_001,run_035,0.328,0.961,0.34,0.5,True,True
real_llama4maverick_50,run_001,run_036,0.475,0.468,0.4,0.5,False,True
real_llama4maverick_50,run_001,run_037,0.405,0.325,0.371,0.5,False,True
real_llama4maverick_50,run_001,run_038,0.332,0.961,0.371,0.5,True,True
real_llama4maverick_50,run_001,run_039,0.273,0.961,0.417,0.333,True,True
real_llama4maverick_50,run_001,run_040,0.312,0.484,0.279,0.333,False,False
real_llama4maverick_50,run_001,run_041,0.401,0.325,0.582,0.5,False,True
real_llama4maverick_50,run_001,run_042,0.322,0.325,0.335,0.5,False,True
real_llama4maverick_50,run_001,run_043,0.446,0.512,0.371,0.333,True,True
real_llama4maverick_50,run_001,run_044,0.356,0.961,0.187,0.5,True,True
real_llama4maverick_50,run_001,run_045,0.129,0.471,0.353,0.5,False,True
real_llama4maverick_50,run_001,run_046,0.05,0.444,0.4,0.333,False,False
real_llama4maverick_50,run_001,run_047,0.374,0.961,0.254,0.5,True,True
real_llama4maverick_50,run_001,run_048,0.139,0.545,0.608,0.25,True,True
real_llama4maverick_50,run_001,run_049,0.383,0.895,0.344,0.333,True,True
real_llama4maverick_50,run_001,run_050,0.082,0.376,0.428,0.5,False,True
real_llama4maverick_50,run_002,run_004,0.027,0.961,0.438,0.5,True,True
real_llama4maverick_50,run_002,run_005,0.458,0.371,0.403,0.5,False,True
real_llama4maverick_50,run_002,run_006,0.706,0.974,0.092,0.5,True,True
real_llama4maverick_50,run_002,run_007,0.365,0.987,0.315,1.0,False,True
real_llama4maverick_50,run_002,run_008,0.164,0.974,0.321,0.5,True,True
real_llama4maverick_50,run_002,run_009,0.122,0.974,0.382,0.5,False,True
real_llama4maverick_50,run_002,run_010,0.153,0.987,0.324,0.5,True,True
real_llama4maverick_50,run_002,run_011,0.442,0.987,0.339,1.0,True,True
real_llama4maverick_50,run_002,run_012,0.714,0.961,0.378,0.5,True,True
real_llama4maverick_50,run_002,run_013,0.414,0.313,0.179,0.5,False,True
real_llama4maverick_50,run_002,run_014,0.571,0.4,0.321,0.5,False,True
real_llama4maverick_50,run_002,run_015,0.379,0.357,0.347,0.5,False,True
real_llama4maverick_50,run_002,run_016,0.276,0.974,0.362,0.5,True,True
real_llama4maverick_50,run_002,run_017,0.477,0.961,0.422,0.5,True,True
real_llama4maverick_50,run_002,run_018,0.271,0.276,0.409,0.5,False,True
real_llama4maverick_50,run_002,run_019,0.086,0.961,0.336,0.5,True,True
real_llama4maverick_50,run_002,run_020,0.284,0.444,0.339,0.0,False,False
real_llama4maverick_50,run_002,run_021,0.051,0.215,0.42,0.5,False,False
real_llama4maverick_50,run_002,run_022,0.191,0.272,0.326,0.5,False,False
real_llama4maverick_50,run_002,run_023,0.278,0.317,0.381,0.5,False,True
real_llama4maverick_50,run_002,run_024,0.344,0.961,0.357,0.5,True,True
real_llama4maverick_50,run_002,run_025,0.493,0.426,0.333,0.5,False,False
real_llama4maverick_50,run_002,run_026,0.056,0.432,0.341,0.5,False,True
real_llama4maverick_50,run_002,run_027,0.115,0.469,0.265,0.5,False,True
real_llama4maverick_50,run_002,run_028,0.043,0.987,0.339,0.5,True,True
real_llama4maverick_50,run_002,run_029,0.556,0.782,0.339,0.5,True,True
real_llama4maverick_50,run_002,run_030,0.266,0.961,0.331,0.5,True,True
real_llama4maverick_50,run_002,run_031,0.115,0.961,0.471,1.0,True,True
real_llama4maverick_50,run_002,run_032,0.357,0.391,0.333,0.0,True,True
real_llama4maverick_50,run_002,run_033,0.406,0.361,0.523,0.5,False,True
real_llama4maverick_50,run_002,run_034,0.08,0.987,0.551,1.0,True,True
real_llama4maverick_50,run_002,run_035,0.416,0.961,0.352,0.5,True,True
real_llama4maverick_50,run_002,run_036,0.497,0.468,0.465,0.5,False,True
real_llama4maverick_50,run_002,run_037,0.476,0.325,0.355,0.5,False,True
real_llama4maverick_50,run_002,run_038,0.433,0.961,0.339,0.5,True,True
real_llama4maverick_50,run_002,run_039,0.593,0.961,0.158,0.333,True,True
real_llama4maverick_50,run_002,run_040,0.389,0.484,0.602,0.333,False,False
real_llama4maverick_50,run_002,run_041,0.535,0.325,0.517,0.5,False,True
real_llama4maverick_50,run_002,run_042,0.341,0.325,0.372,0.5,False,True
real_llama4maverick_50,run_002,run_043,0.297,0.512,0.339,0.333,True,True
real_llama4maverick_50,run_002,run_044,0.393,0.961,0.547,0.5,True,True
real_llama4maverick_50,run_002,run_045,0.058,0.471,0.341,0.5,False,True
real_llama4maverick_50,run_002,run_046,0.05,0.444,0.302,0.333,False,False
real_llama4maverick_50,run_002,run_047,0.352,0.961,0.36,0.5,True,True
real_llama4maverick_50,run_002,run_048,0.457,0.545,0.312,0.25,True,True
real_llama4maverick_50,run_002,run_049,0.442,0.895,0.439,0.333,True,True
real_llama4maverick_50,run_002,run_050,0.14,0.376,0.433,0.5,False,True
real_llama4maverick_50,run_004,run_005,0.466,0.367,0.439,0.0,False,True
real_llama4maverick_50,run_004,run_006,0.372,0.987,0.059,1.0,True,True
real_llama4maverick_50,run_004,run_007,0.337,0.974,0.319,0.5,False,True
real_llama4maverick_50,run_004,run_008,0.071,0.987,0.587,1.0,True,True
real_llama4maverick_50,run_004,run_009,0.16,0.987,0.539,1.0,False,True
real_llama4maverick_50,run_004,run_010,0.154,0.974,0.522,1.0,True,True
real_llama4maverick_50,run_004,run_011,0.427,0.974,0.45,0.5,True,True
real_llama4maverick_50,run_004,run_012,0.386,1.0,0.402,1.0,True,True
real_llama4maverick_50,run_004,run_013,0.37,0.31,0.338,0.0,False,True
real_llama4maverick_50,run_004,run_014,0.306,0.396,0.451,0.0,False,True
real_llama4maverick_50,run_004,run_015,0.261,0.353,0.467,0.0,False,True
real_llama4maverick_50,run_004,run_016,0.319,0.987,0.561,1.0,True,True
real_llama4maverick_50,run_004,run_017,0.433,1.0,0.568,1.0,True,True
