experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_opus5,run_001,run_002,0.184,0.169,0.026,1.0,True,True
real_opus5,run_001,run_003,0.201,0.176,0.016,0.0,True,False
real_opus5,run_001,run_004,0.206,0.147,0.064,0.5,True,False
real_opus5,run_001,run_005,0.209,0.225,0.026,1.0,False,True
real_opus5,run_001,run_006,0.223,0.036,0.029,1.0,True,False
real_opus5,run_001,run_007,0.28,0.191,0.022,0.5,False,False
real_opus5,run_001,run_008,0.154,0.185,0.016,0.5,True,False
real_opus5,run_001,run_009,0.215,0.088,0.021,0.333,True,False
real_opus5,run_001,run_010,0.221,0.205,0.028,0.5,True,False
real_opus5,run_001,run_011,0.136,0.172,0.019,1.0,True,False
real_opus5,run_001,run_012,0.178,0.119,0.009,1.0,False,False
real_opus5,run_001,run_014,0.163,0.116,0.017,0.0,False,False
real_opus5,run_001,run_015,0.18,0.141,0.065,0.5,True,False
real_opus5,run_001,run_016,0.212,0.187,0.039,1.0,True,False
real_opus5,run_001,run_017,0.182,0.13,0.028,1.0,True,False
real_opus5,run_001,run_018,0.239,0.103,0.042,0.5,True,False
real_opus5,run_001,run_019,0.206,0.162,0.059,0.5,False,False
real_opus5,run_001,run_020,0.113,0.038,0.053,1.0,True,False
real_opus5,run_002,run_003,0.183,0.16,0.045,0.0,True,False
real_opus5,run_002,run_004,0.166,0.151,0.058,0.5,True,False
real_opus5,run_002,run_005,0.222,0.211,0.035,1.0,False,True
real_opus5,run_002,run_006,0.162,0.077,0.012,1.0,True,False
real_opus5,run_002,run_007,0.178,0.214,0.014,0.5,False,False
real_opus5,run_002,run_008,0.154,0.223,0.028,0.5,True,False
real_opus5,run_002,run_009,0.167,0.304,0.014,0.333,True,False
real_opus5,run_002,run_010,0.11,0.105,0.014,0.5,True,False
real_opus5,run_002,run_011,0.151,0.08,0.009,1.0,True,False
real_opus5,run_002,run_012,0.091,0.128,0.01,1.0,False,False
real_opus5,run_002,run_014,0.124,0.16,0.036,0.0,False,False
real_opus5,run_002,run_015,0.148,0.089,0.017,0.5,True,False
real_opus5,run_002,run_016,0.132,0.1,0.02,1.0,True,False
real_opus5,run_002,run_017,0.161,0.25,0.009,1.0,True,False
real_opus5,run_002,run_018,0.227,0.075,0.023,0.5,True,False
real_opus5,run_002,run_019,0.105,0.11,0.015,0.5,False,False
real_opus5,run_002,run_020,0.163,0.335,0.021,1.0,True,False
real_opus5,run_003,run_004,0.125,0.147,0.034,0.0,True,False
real_opus5,run_003,run_005,0.149,0.164,0.026,0.0,False,False
real_opus5,run_003,run_006,0.223,0.05,0.016,0.0,True,True
real_opus5,run_003,run_007,0.266,0.114,0.022,0.0,False,True
real_opus5,run_003,run_008,0.101,0.239,0.009,0.5,True,True
real_opus5,run_003,run_009,0.181,0.18,0.024,0.333,True,True
real_opus5,run_003,run_010,0.181,0.348,0.017,0.0,True,True
real_opus5,run_003,run_011,0.144,0.236,0.015,0.0,True,True
real_opus5,run_003,run_012,0.187,0.147,0.011,0.0,False,True
real_opus5,run_003,run_014,0.178,0.164,0.019,0.0,False,False
real_opus5,run_003,run_015,0.162,0.328,0.024,0.5,True,True
real_opus5,run_003,run_016,0.201,0.275,0.017,0.0,True,True
real_opus5,run_003,run_017,0.139,0.121,0.026,0.0,True,True
real_opus5,run_003,run_018,0.294,0.095,0.02,0.5,True,True
real_opus5,run_003,run_019,0.243,0.198,0.022,0.0,False,False
real_opus5,run_003,run_020,0.161,0.041,0.021,0.0,True,True
real_opus5,run_004,run_005,0.155,0.047,0.121,0.5,False,False
real_opus5,run_004,run_006,0.21,0.096,0.024,0.5,True,False
real_opus5,run_004,run_007,0.27,0.205,0.038,1.0,False,False
real_opus5,run_004,run_008,0.139,0.223,0.049,0.333,True,False
real_opus5,run_004,run_009,0.141,0.152,0.039,0.667,True,False
real_opus5,run_004,run_010,0.135,0.101,0.067,1.0,True,False
real_opus5,run_004,run_011,0.149,0.08,0.019,0.5,True,False
real_opus5,run_004,run_012,0.218,0.152,0.035,0.5,False,False
real_opus5,run_004,run_014,0.166,0.181,0.028,0.5,False,True
real_opus5,run_004,run_015,0.103,0.117,0.023,0.333,True,False
real_opus5,run_004,run_016,0.166,0.089,0.039,0.5,True,False
real_opus5,run_004,run_017,0.143,0.176,0.018,0.5,True,False
real_opus5,run_004,run_018,0.154,0.113,0.061,0.333,True,False
real_opus5,run_004,run_019,0.103,0.122,0.024,1.0,False,True
real_opus5,run_004,run_020,0.136,0.043,0.081,0.5,True,False
real_opus5,run_005,run_006,0.224,0.039,0.055,1.0,False,False
real_opus5,run_005,run_007,0.234,0.294,0.046,0.5,False,False
real_opus5,run_005,run_008,0.197,0.282,0.032,0.5,False,False
real_opus5,run_005,run_009,0.242,0.279,0.047,0.333,False,False
real_opus5,run_005,run_010,0.202,0.124,0.021,0.5,False,False
real_opus5,run_005,run_011,0.204,0.2,0.024,1.0,False,False
real_opus5,run_005,run_012,0.18,0.171,0.042,1.0,False,False
real_opus5,run_005,run_014,0.192,0.193,0.043,0.0,False,False
real_opus5,run_005,run_015,0.184,0.253,0.038,0.5,False,False
real_opus5,run_005,run_016,0.201,0.111,0.082,1.0,False,False
real_opus5,run_005,run_017,0.276,0.231,0.048,1.0,False,False
real_opus5,run_005,run_018,0.284,0.099,0.031,0.5,False,False
real_opus5,run_005,run_019,0.175,0.165,0.044,0.5,False,False
real_opus5,run_005,run_020,0.174,0.113,0.007,1.0,False,False
real_opus5,run_006,run_007,0.311,0.128,0.031,0.5,False,True
real_opus5,run_006,run_008,0.128,0.128,0.022,0.5,True,True
real_opus5,run_006,run_009,0.263,0.2,0.029,0.333,True,True
real_opus5,run_006,run_010,0.266,0.208,0.014,0.5,True,True
real_opus5,run_006,run_011,0.175,0.231,0.015,1.0,True,True
real_opus5,run_006,run_012,0.183,0.064,0.024,1.0,False,True
real_opus5,run_006,run_014,0.157,0.103,0.009,0.0,False,False
real_opus5,run_006,run_015,0.182,0.289,0.026,0.5,True,True
real_opus5,run_006,run_016,0.239,0.199,0.033,1.0,True,True
real_opus5,run_006,run_017,0.196,0.128,0.033,1.0,True,True
real_opus5,run_006,run_018,0.175,0.252,0.021,0.5,True,True
real_opus5,run_006,run_019,0.141,0.115,0.025,0.5,False,False
real_opus5,run_006,run_020,0.213,0.119,0.011,1.0,True,True
real_opus5,run_007,run_008,0.143,0.373,0.037,0.333,False,True
real_opus5,run_007,run_009,0.192,0.276,0.049,0.667,False,True
real_opus5,run_007,run_010,0.205,0.102,0.029,1.0,False,True
real_opus5,run_007,run_011,0.159,0.143,0.026,0.5,False,True
real_opus5,run_007,run_012,0.308,0.183,0.038,0.5,False,True
real_opus5,run_007,run_014,0.152,0.229,0.018,0.5,True,False
real_opus5,run_007,run_015,0.205,0.267,0.03,0.333,False,True
real_opus5,run_007,run_016,0.226,0.078,0.034,0.5,False,True
real_opus5,run_007,run_017,0.201,0.257,0.054,0.5,False,True
real_opus5,run_007,run_018,0.209,0.05,0.037,0.333,False,True
real_opus5,run_007,run_019,0.164,0.101,0.023,1.0,True,False
real_opus5,run_007,run_020,0.13,0.069,0.01,0.5,False,True
real_opus5,run_008,run_009,0.162,0.307,0.016,0.667,True,True
real_opus5,run_008,run_010,0.199,0.101,0.039,0.333,True,True
real_opus5,run_008,run_011,0.136,0.102,0.014,0.5,True,True
real_opus5,run_008,run_012,0.091,0.165,0.021,0.5,False,True
real_opus5,run_008,run_014,0.146,0.224,0.016,0.0,False,False
real_opus5,run_008,run_015,0.223,0.106,0.031,1.0,True,True
real_opus5,run_008,run_016,0.126,0.084,0.02,0.5,True,True
real_opus5,run_008,run_017,0.174,0.256,0.068,0.5,True,True
real_opus5,run_008,run_018,0.192,0.047,0.042,1.0,True,True
real_opus5,run_008,run_019,0.124,0.066,0.021,0.333,False,False
real_opus5,run_008,run_020,0.142,0.044,0.026,0.5,True,True
real_opus5,run_009,run_010,0.226,0.088,0.02,0.667,True,True
real_opus5,run_009,run_011,0.181,0.086,0.019,0.333,True,True
real_opus5,run_009,run_012,0.167,0.165,0.014,0.333,False,True
real_opus5,run_009,run_014,0.195,0.192,0.015,0.333,False,False
real_opus5,run_009,run_015,0.174,0.11,0.028,0.667,True,True
real_opus5,run_009,run_016,0.197,0.079,0.024,0.333,True,True
real_opus5,run_009,run_017,0.249,0.259,0.013,0.333,True,True
real_opus5,run_009,run_018,0.281,0.042,0.046,0.667,True,True
real_opus5,run_009,run_019,0.192,0.058,0.023,0.667,False,False
real_opus5,run_009,run_020,0.139,0.055,0.035,0.333,True,True
real_opus5,run_010,run_011,0.127,0.244,0.023,0.5,True,True
real_opus5,run_010,run_012,0.114,0.105,0.03,0.5,False,True
real_opus5,run_010,run_014,0.18,0.291,0.022,0.5,False,False
real_opus5,run_010,run_015,0.158,0.372,0.019,0.333,True,True
real_opus5,run_010,run_016,0.181,0.23,0.021,0.5,True,True
real_opus5,run_010,run_017,0.184,0.21,0.006,0.5,True,True
real_opus5,run_010,run_018,0.168,0.265,0.044,0.333,True,True
real_opus5,run_010,run_019,0.106,0.203,0.022,1.0,False,False
real_opus5,run_010,run_020,0.157,0.045,0.049,0.5,True,True
real_opus5,run_011,run_012,0.174,0.194,0.016,1.0,False,True
real_opus5,run_011,run_014,0.054,0.197,0.021,0.0,False,False
real_opus5,run_011,run_015,0.22,0.366,0.009,0.5,True,True
real_opus5,run_011,run_016,0.222,0.186,0.016,1.0,True,True
real_opus5,run_011,run_017,0.216,0.187,0.063,1.0,True,True
real_opus5,run_011,run_018,0.159,0.178,0.019,0.5,True,True
real_opus5,run_011,run_019,0.138,0.183,0.074,0.5,False,False
real_opus5,run_011,run_020,0.165,0.037,0.012,1.0,True,True
real_opus5,run_012,run_014,0.255,0.117,0.016,0.0,False,False
real_opus5,run_012,run_015,0.225,0.137,0.045,0.5,False,True
real_opus5,run_012,run_016,0.199,0.099,0.013,1.0,False,True
real_opus5,run_012,run_017,0.105,0.132,0.013,1.0,False,True
real_opus5,run_012,run_018,0.221,0.056,0.012,0.5,False,True
real_opus5,run_012,run_019,0.257,0.09,0.02,0.5,False,False
real_opus5,run_012,run_020,0.179,0.05,0.019,1.0,False,True
real_opus5,run_014,run_015,0.191,0.177,0.014,0.0,False,False
real_opus5,run_014,run_016,0.227,0.096,0.022,0.0,False,False
real_opus5,run_014,run_017,0.193,0.242,0.01,0.0,False,False
real_opus5,run_014,run_018,0.274,0.142,0.019,0.0,False,False
