experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_sonnet5_20,run_001,run_002,0.154,0.092,0.035,1.0,False,False
real_sonnet5_20,run_001,run_003,0.012,0.034,0.136,1.0,False,False
real_sonnet5_20,run_001,run_004,0.04,0.218,0.162,1.0,False,False
real_sonnet5_20,run_001,run_005,0.022,0.159,0.14,1.0,False,False
real_sonnet5_20,run_001,run_006,0.105,0.423,0.036,1.0,False,False
real_sonnet5_20,run_001,run_007,0.069,0.455,0.097,1.0,False,False
real_sonnet5_20,run_001,run_008,0.102,0.171,0.119,1.0,False,False
real_sonnet5_20,run_001,run_009,0.063,0.196,0.091,1.0,False,True
real_sonnet5_20,run_001,run_010,0.062,0.121,0.049,1.0,False,False
real_sonnet5_20,run_001,run_011,0.094,0.139,0.061,1.0,False,False
real_sonnet5_20,run_001,run_012,0.037,0.303,0.017,1.0,False,False
real_sonnet5_20,run_001,run_013,0.052,0.29,0.028,0.0,False,False
real_sonnet5_20,run_001,run_014,0.137,0.22,0.039,1.0,False,False
real_sonnet5_20,run_001,run_015,0.075,0.546,0.046,1.0,False,False
real_sonnet5_20,run_001,run_016,0.051,0.252,0.032,1.0,False,True
real_sonnet5_20,run_001,run_017,0.092,0.461,0.129,1.0,False,False
real_sonnet5_20,run_001,run_018,0.086,0.349,0.058,1.0,False,False
real_sonnet5_20,run_001,run_019,0.079,0.208,0.079,1.0,False,False
real_sonnet5_20,run_001,run_020,0.035,0.186,0.019,1.0,False,False
real_sonnet5_20,run_002,run_003,0.015,0.087,0.017,1.0,False,False
real_sonnet5_20,run_002,run_004,0.039,0.071,0.038,1.0,False,False
real_sonnet5_20,run_002,run_005,0.037,0.056,0.011,1.0,False,False
real_sonnet5_20,run_002,run_006,0.114,0.44,0.051,1.0,False,False
real_sonnet5_20,run_002,run_007,0.079,0.373,0.042,1.0,False,False
real_sonnet5_20,run_002,run_008,0.096,0.083,0.01,1.0,False,False
real_sonnet5_20,run_002,run_009,0.143,0.023,0.025,1.0,False,False
real_sonnet5_20,run_002,run_010,0.045,0.038,0.022,1.0,False,False
real_sonnet5_20,run_002,run_011,0.075,0.037,0.013,1.0,False,False
real_sonnet5_20,run_002,run_012,0.099,0.093,0.018,1.0,False,False
real_sonnet5_20,run_002,run_013,0.076,0.307,0.041,0.0,False,False
real_sonnet5_20,run_002,run_014,0.089,0.112,0.132,1.0,False,False
real_sonnet5_20,run_002,run_015,0.06,0.405,0.024,1.0,False,False
real_sonnet5_20,run_002,run_016,0.053,0.028,0.029,1.0,False,False
real_sonnet5_20,run_002,run_017,0.098,0.376,0.136,1.0,False,False
real_sonnet5_20,run_002,run_018,0.098,0.336,0.007,1.0,False,False
real_sonnet5_20,run_002,run_019,0.129,0.092,0.014,1.0,False,False
real_sonnet5_20,run_002,run_020,0.039,0.083,0.019,1.0,False,False
real_sonnet5_20,run_003,run_004,0.032,0.179,0.169,1.0,False,True
real_sonnet5_20,run_003,run_005,0.01,0.144,0.219,1.0,False,True
real_sonnet5_20,run_003,run_006,0.042,0.506,0.058,1.0,False,True
real_sonnet5_20,run_003,run_007,0.036,0.474,0.073,1.0,False,True
real_sonnet5_20,run_003,run_008,0.009,0.259,0.16,1.0,False,True
real_sonnet5_20,run_003,run_009,0.101,0.045,0.119,1.0,False,False
real_sonnet5_20,run_003,run_010,0.023,0.037,0.02,1.0,False,False
real_sonnet5_20,run_003,run_011,0.056,0.055,0.033,1.0,False,False
real_sonnet5_20,run_003,run_012,0.013,0.172,0.02,1.0,False,True
real_sonnet5_20,run_003,run_013,0.037,0.329,0.08,0.0,False,True
real_sonnet5_20,run_003,run_014,0.105,0.227,0.049,1.0,True,True
real_sonnet5_20,run_003,run_015,0.025,0.349,0.038,1.0,True,True
real_sonnet5_20,run_003,run_016,0.141,0.035,0.033,1.0,False,False
real_sonnet5_20,run_003,run_017,0.017,0.551,0.152,1.0,False,True
real_sonnet5_20,run_003,run_018,0.015,0.445,0.066,1.0,True,True
real_sonnet5_20,run_003,run_019,0.04,0.377,0.095,1.0,True,True
real_sonnet5_20,run_003,run_020,0.039,0.287,0.069,1.0,True,True
real_sonnet5_20,run_004,run_005,0.038,0.178,0.138,1.0,False,True
real_sonnet5_20,run_004,run_006,0.063,0.323,0.033,1.0,True,True
real_sonnet5_20,run_004,run_007,0.043,0.431,0.053,1.0,False,True
real_sonnet5_20,run_004,run_008,0.077,0.187,0.116,1.0,False,True
real_sonnet5_20,run_004,run_009,0.065,0.168,0.07,1.0,False,False
real_sonnet5_20,run_004,run_010,0.029,0.094,0.018,1.0,False,False
real_sonnet5_20,run_004,run_011,0.035,0.173,0.021,1.0,False,False
real_sonnet5_20,run_004,run_012,0.033,0.201,0.005,1.0,False,True
real_sonnet5_20,run_004,run_013,0.12,0.137,0.01,0.0,False,True
real_sonnet5_20,run_004,run_014,0.045,0.222,0.029,1.0,False,True
real_sonnet5_20,run_004,run_015,0.029,0.355,0.026,1.0,False,True
real_sonnet5_20,run_004,run_016,0.105,0.232,0.024,1.0,False,False
real_sonnet5_20,run_004,run_017,0.053,0.349,0.1,1.0,False,True
real_sonnet5_20,run_004,run_018,0.041,0.345,0.041,1.0,False,True
real_sonnet5_20,run_004,run_019,0.055,0.22,0.056,1.0,False,True
real_sonnet5_20,run_004,run_020,0.085,0.213,0.012,1.0,False,True
real_sonnet5_20,run_005,run_006,0.055,0.31,0.053,1.0,False,True
real_sonnet5_20,run_005,run_007,0.016,0.414,0.109,1.0,False,True
real_sonnet5_20,run_005,run_008,0.05,0.159,0.041,1.0,False,True
real_sonnet5_20,run_005,run_009,0.036,0.036,0.155,1.0,False,False
real_sonnet5_20,run_005,run_010,0.008,0.041,0.017,1.0,False,False
real_sonnet5_20,run_005,run_011,0.012,0.073,0.056,1.0,False,False
real_sonnet5_20,run_005,run_012,0.038,0.179,0.051,1.0,False,True
real_sonnet5_20,run_005,run_013,0.052,0.233,0.062,0.0,True,True
real_sonnet5_20,run_005,run_014,0.034,0.172,0.193,1.0,False,True
real_sonnet5_20,run_005,run_015,0.043,0.372,0.061,1.0,False,True
real_sonnet5_20,run_005,run_016,0.044,0.03,0.035,1.0,False,False
real_sonnet5_20,run_005,run_017,0.061,0.257,0.155,1.0,False,True
real_sonnet5_20,run_005,run_018,0.042,0.325,0.041,1.0,False,True
real_sonnet5_20,run_005,run_019,0.026,0.249,0.167,1.0,False,True
real_sonnet5_20,run_005,run_020,0.016,0.169,0.103,1.0,False,True
real_sonnet5_20,run_006,run_007,0.063,0.635,0.022,1.0,False,True
real_sonnet5_20,run_006,run_008,0.134,0.284,0.009,1.0,False,True
real_sonnet5_20,run_006,run_009,0.139,0.046,0.061,1.0,False,False
real_sonnet5_20,run_006,run_010,0.052,0.042,0.032,1.0,False,False
real_sonnet5_20,run_006,run_011,0.091,0.067,0.107,1.0,False,False
real_sonnet5_20,run_006,run_012,0.089,0.194,0.107,1.0,False,True
real_sonnet5_20,run_006,run_013,0.065,0.184,0.098,0.0,False,True
real_sonnet5_20,run_006,run_014,0.11,0.252,0.062,1.0,False,True
real_sonnet5_20,run_006,run_015,0.054,0.396,0.037,1.0,False,True
real_sonnet5_20,run_006,run_016,0.066,0.04,0.029,1.0,False,False
real_sonnet5_20,run_006,run_017,0.063,0.533,0.206,1.0,False,True
real_sonnet5_20,run_006,run_018,0.082,0.481,0.043,1.0,False,True
real_sonnet5_20,run_006,run_019,0.143,0.388,0.051,1.0,False,True
real_sonnet5_20,run_006,run_020,0.225,0.299,0.079,1.0,False,True
real_sonnet5_20,run_007,run_008,0.077,0.393,0.049,1.0,False,True
real_sonnet5_20,run_007,run_009,0.064,0.154,0.034,1.0,True,False
real_sonnet5_20,run_007,run_010,0.045,0.077,0.026,1.0,False,False
real_sonnet5_20,run_007,run_011,0.065,0.177,0.028,1.0,False,False
